filename,source_project,source_title,source_url,author,license,license_url,notes
mandarin_ipa_a.mp3,Wikimedia Commons IPA chart audio,File:PR-open front unrounded vowel.ogg for [a],https://commons.wikimedia.org/wiki/File:PR-open_front_unrounded_vowel.ogg,Wikimedia Commons contributors; see source file page,See source file page,https://commons.wikimedia.org/wiki/File:PR-open_front_unrounded_vowel.ogg,Direct IPA chart audio from https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio.
mandarin_ipa_a_central.mp3,Wikimedia Commons IPA chart audio,File:Open central unrounded vowel.ogg for [ä],https://commons.wikimedia.org/wiki/File:Open_central_unrounded_vowel.ogg,Wikimedia Commons contributors; see source file page,See source file page,https://commons.wikimedia.org/wiki/File:Open_central_unrounded_vowel.ogg,Direct IPA chart audio from https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio.
mandarin_ipa_a_central_er.mp3,Pinyin syllable demo,zispace/hanyu-pinyin-audio pinyin syllable er2.mp3 for [äɚ̯],https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,zispace/hanyu-pinyin-audio source archive contributors,See upstream source archive,https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,"Auxiliary audio from github-hugolpz-audio.zip. This is a full Mandarin syllable demo, not isolated IPA-symbol audio. nearest rhotic syllable demo"
mandarin_ipa_a_central_nasal_er.mp3,Pinyin syllable demo,zispace/hanyu-pinyin-audio pinyin syllable er2.mp3 for [ä̃ɚ̯̃],https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,zispace/hanyu-pinyin-audio source archive contributors,See upstream source archive,https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,"Auxiliary audio from github-hugolpz-audio.zip. This is a full Mandarin syllable demo, not isolated IPA-symbol audio. nearest rhotic syllable demo"
mandarin_ipa_ai.mp3,Pinyin syllable demo,zispace/hanyu-pinyin-audio pinyin syllable ai1.mp3 for [ai̯],https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,zispace/hanyu-pinyin-audio source archive contributors,See upstream source archive,https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,"Auxiliary audio from github-hugolpz-audio.zip. This is a full Mandarin syllable demo, not isolated IPA-symbol audio."
mandarin_ipa_alpha.mp3,Wikimedia Commons IPA chart audio,File:Open back unrounded vowel.ogg for [ɑ],https://commons.wikimedia.org/wiki/File:Open_back_unrounded_vowel.ogg,Wikimedia Commons contributors; see source file page,See source file page,https://commons.wikimedia.org/wiki/File:Open_back_unrounded_vowel.ogg,Direct IPA chart audio from https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio.
mandarin_ipa_alpha_u.mp3,Pinyin syllable demo,zispace/hanyu-pinyin-audio pinyin syllable ao1.mp3 for [ɑu̯],https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,zispace/hanyu-pinyin-audio source archive contributors,See upstream source archive,https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,"Auxiliary audio from github-hugolpz-audio.zip. This is a full Mandarin syllable demo, not isolated IPA-symbol audio."
mandarin_ipa_alpha_u_rhotic.mp3,Pinyin syllable demo,zispace/hanyu-pinyin-audio pinyin syllable ao1.mp3 for [ɑu̯˞],https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,zispace/hanyu-pinyin-audio source archive contributors,See upstream source archive,https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,"Auxiliary audio from github-hugolpz-audio.zip. This is a full Mandarin syllable demo, not isolated IPA-symbol audio. base ao syllable demo; not erhua"
mandarin_ipa_alveolopalatal_sibilant.mp3,Wikimedia Commons IPA chart audio,File:Voiceless alveolo-palatal sibilant.ogg for [ɕ],https://commons.wikimedia.org/wiki/File:Voiceless_alveolo-palatal_sibilant.ogg,Wikimedia Commons contributors; see source file page,See source file page,https://commons.wikimedia.org/wiki/File:Voiceless_alveolo-palatal_sibilant.ogg,Direct IPA chart audio from https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio.
mandarin_ipa_apical_alveolar_vowel.mp3,Pinyin syllable demo,zispace/hanyu-pinyin-audio pinyin syllable zi1.mp3 for [ɿ],https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,zispace/hanyu-pinyin-audio source archive contributors,See upstream source archive,https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,"Auxiliary audio from github-hugolpz-audio.zip. This is a full Mandarin syllable demo, not isolated IPA-symbol audio."
